disease,text
Hypothyroidism,"['""Potassium""', '""Chloride""', '""Urea Nitrogen""', '""Anion Gap""', '""Bicarbonate""', '""Sodium""', '""Magnesium""', '""Glucose""', '""Calcium, Total""', '""Creatinine""', '""Phosphate""', '""Albumin""', '""MCH""', '""RDW""', '""Hematocrit""', '""MCV""', '""Hemoglobin""', '""MCHC""', '""White Blood Cells""', '""Red Blood Cells""', '""Platelet Count""', '""Specimen Type""', '""pCO2""', '""pH""', '""Lactate""', '""Base Excess""', '""Calculated Total CO2""', '""pO2""', '""Free Calcium""', '""Alkaline Phosphatase""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Carcinoembyronic Antigen (CEA)""', '""PTT""', '""PT""', '""INR(PT)""', '""Light Green Top Hold""', '""Neutrophils""', '""Eosinophils""', '""Basophils""', '""Monocytes""', '""Lymphocytes""', '""Estimated GFR (MDRD equation)""', '""Creatine Kinase, MB Isoenzyme""', '""Troponin T""', '""Intubated""', '""Chloride, Whole Blood""', '""Sodium, Whole Blood""', '""Potassium, Whole Blood""', '""Hematocrit, Calculated""', '""Oxygen Saturation""', '""EDTA Hold""', '""Blue Top Hold""', '""Creatine Kinase (CK)""', '""CK-MB Index""', '""Voided Specimen""', '""eAG""', '""% Hemoglobin A1c""', '""Urobilinogen""', '""Epithelial Cells""', '""Bacteria""', '""Yeast""', '""Blood""', '""Bilirubin""', '""Urine Appearance""', '""Urine Color""', '""WBC""', '""Protein""', '""Nitrite""', '""Ketone""', '""Urine Mucous""', '""RBC""', '""Specific Gravity""', '""Leukocytes""', '""Thyroid Stimulating Hormone""', '""Metamyelocytes""', '""Atypical Lymphocytes""', '""Myelocytes""', '""Bands""', '""Platelet Smear""', '""Basophilic Stippling""', '""Ovalocytes""', '""Polychromasia""', '""Hypochromia""', '""Microcytes""', '""Macrocytes""', '""Anisocytosis""', '""Poikilocytosis""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Chloride, Urine""', '""Potassium, Urine""', '""Sodium, Urine""', '""Ammonia""', '""Vancomycin""', '""Transitional Epithelial Cells""', '""RBC, CSF""', '""Total Nucleated Cells, CSF""', '""Glucose, CSF""', '""Total Protein, CSF""', '""Macrophage""', '""Polys""', '""Lymphs""', '""Uhold""', '""Folate""', '""Cortisol""', '""Ferritin""', '""Transferrin""', '""Iron Binding Capacity, Total""', '""Iron""', '""Inpatient Hematology/Oncology Smear""', '""Reticulocyte Count, Automated""', '""Double Stranded DNA""', '""Thyroid Peroxidase Antibodies""', '""Thyroglobulin""', '""Anti-Thyroglobulin Antibodies""', '""Absolute Neutrophil Count""', '""Absolute Monocyte Count""', '""Absolute Basophil Count""', '""Absolute Lymphocyte Count""', '""Absolute Eosinophil Count""', '""RDW-SD""', '""C-Reactive Protein""', '""Hyaline Casts""', '""Creatinine, Urine""', '""Phosphate, Urine""', '""Urea Nitrogen, Urine""', '""HIV Screen""', '""Lactate Dehydrogenase (LD)""', '""Fibrinogen, Functional""', '""Temperature""', '""Tidal Volume""', '""PEEP""', '""Oxygen""', '""Calcium Oxalate Crystals""', '""WBC Clumps""', '""Problem Specimen""', '""Haptoglobin""', '""Vitamin B12""', '""Lipase""', '""Red Top Hold""', '""Urine tube, held""', '""Immunoglobulin G""', '""Immunoglobulin A""', '""Ventilation Rate""', '""Assist/Control""', '""Triglycerides""', '""Ventilator""', '""O2 Flow""', '""Total Nucleated Cells, Pleural""', '""RBC, Pleural""', '""Macrophages""', '""Monos""', '""Mesothelial Cells""', '""Total Protein, Pleural""', '""Albumin, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Glucose, Pleural""', '""Amorphous Crystals""', '""Granular Casts""']"
Intestinal obstructions,"['""RDW""', '""MCV""', '""Hemoglobin""', '""Hematocrit""', '""MCH""', '""Red Blood Cells""', '""MCHC""', '""Platelet Count""', '""White Blood Cells""', '""Sodium""', '""Phosphate""', '""Chloride""', '""Magnesium""', '""Urea Nitrogen""', '""Glucose""', '""Bicarbonate""', '""Creatinine""', '""Calcium, Total""', '""Potassium""', '""Anion Gap""', '""INR(PT)""', '""PTT""', '""Fibrinogen, Functional""', '""PT""', '""Bilirubin, Total""', '""Lactate Dehydrogenase (LD)""', '""Alkaline Phosphatase""', '""Albumin""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Indirect""', '""Bilirubin, Direct""', '""Intubated""', '""Specimen Type""', '""Base Excess""', '""Chloride, Whole Blood""', '""Hematocrit, Calculated""', '""Free Calcium""', '""pH""', '""Sodium, Whole Blood""', '""Potassium, Whole Blood""', '""pO2""', '""Calculated Total CO2""', '""Lactate""', '""pCO2""', '""Estimated GFR (MDRD equation)""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""', '""NTproBNP""', '""Reticulocyte Count, Automated""', '""Poikilocytosis""', '""Schistocytes""', '""Teardrop Cells""', '""Anisocytosis""', '""Ovalocytes""', '""Macrocytes""', '""Polychromasia""', '""Echinocytes""', '""Microcytes""', '""Spherocytes""', '""Hypochromia""', '""Temperature""', '""Oxygen""', '""PEEP""', '""Platelet Smear""', '""Ventilation Rate""', '""Haptoglobin""', '""Tidal Volume""', '""Assist/Control""', '""Oxygen Saturation""', '""Creatine Kinase (CK)""', '""Lymphocytes""', '""Neutrophils""', '""Basophils""', '""Monocytes""', '""Eosinophils""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Sodium, Urine""', '""Potassium, Urine""', '""Creatinine, Urine""', '""Urea Nitrogen, Urine""', '""Chloride, Urine""', '""Urine tube, held""', '""Protein""', '""Urobilinogen""', '""Hyaline Casts""', '""Specific Gravity""', '""Urine Appearance""', '""WBC""', '""Bacteria""', '""Bilirubin""', '""RBC""', '""Yeast""', '""Urine Mucous""', '""Blood""', '""Urine Color""', '""Leukocytes""', '""Nitrite""', '""Ketone""', '""Epithelial Cells""', '""Waxy Casts""']"
Intestinal obstructions,"['""RDW-SD""', '""Hematocrit""', '""White Blood Cells""', '""Red Blood Cells""', '""Hemoglobin""', '""RDW""', '""MCHC""', '""MCH""', '""MCV""', '""Platelet Count""', '""PT""', '""PTT""', '""INR(PT)""', '""Bilirubin, Total""', '""Urea Nitrogen""', '""Potassium""', '""Chloride""', '""Anion Gap""', '""Alanine Aminotransferase (ALT)""', '""Sodium""', '""Magnesium""', '""Asparate Aminotransferase (AST)""', '""Calcium, Total""', '""Bicarbonate""', '""Alkaline Phosphatase""', '""Phosphate""', '""Glucose""', '""Creatinine""', '""Metamyelocytes""', '""Absolute Lymphocyte Count""', '""Lymphocytes""', '""Eosinophils""', '""Absolute Eosinophil Count""', '""Absolute Basophil Count""', '""Bands""', '""Myelocytes""', '""Other Cells""', '""Monocytes""', '""Neutrophils""', '""Absolute Monocyte Count""', '""Absolute Neutrophil Count""', '""Basophils""', '""Atypical Lymphocytes""', '""Anisocytosis""', '""Schistocytes""', '""Hypochromia""', '""Macrocytes""', '""Teardrop Cells""', '""Polychromasia""', '""Poikilocytosis""', '""Bite Cells""', '""Microcytes""', '""Digoxin""', '""pCO2""', '""Calculated Total CO2""', '""Specimen Type""', '""pO2""', '""Base Excess""', '""pH""', '""Protein, Total""', '""Thyroxine (T4), Free""', '""Albumin""', '""Lactate Dehydrogenase (LD)""', '""Platelet Smear""', '""Length of Urine Collection""', '""Chloride, Urine""', '""Total Protein, Urine""', '""Protein/Creatinine Ratio""', '""Sodium, Urine""', '""Uric Acid, Urine""', '""Creatinine, Urine""', '""Potassium, Urine""', '""Osmolality, Urine""', '""PEEP""', '""Ventilation Rate""', '""Ventilator""', '""Intubated""', '""Oxygen""', '""Oxygen Saturation""', '""Lactate""', '""Red Top Hold""', '""Immunoglobulin M""', '""Immunoglobulin A""', '""Immunoglobulin G""', '""Prot. Electrophoresis, Urine""', '""Protein Electrophoresis""', '""Immunofixation, Urine""', '""Nitrite""', '""Urine Color""', '""Urine Appearance""', '""Bilirubin""', '""Bacteria""', '""Protein""', '""RBC""', '""Blood""', '""Urobilinogen""', '""Leukocytes""', '""Ketone""', '""WBC""', '""Epithelial Cells""', '""Yeast""', '""Urine Mucous""', '""Specific Gravity""', '""Problem Specimen""', '""Free Kappa""', '""Free Lambda""', '""Free Kappa/Free Lambda Ratio""', '""Temperature""', '""Tidal Volume""', '""Blasts""', '""Echinocytes""', '""NTproBNP""', '""Estimated GFR (MDRD equation)""', '""Hematocrit, Calculated""', '""Free Calcium""', '""Potassium, Whole Blood""', '""Polys""', '""Monos""', '""Macrophages""', '""Mesothelial Cells""', '""Cholesterol, Pleural""', '""RBC, Pleural""', '""Total Nucleated Cells, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Albumin, Pleural""', '""Glucose, Pleural""', '""Total Protein, Pleural""', '""Miscellaneous, Pleural""', '""Urea Nitrogen, Urine""', '""Nucleated Red Cells""', '""Ovalocytes""', '""Vancomycin""', '""C-Reactive Protein""', '""Thyroid Stimulating Hormone""', '""EDTA Hold""', '""Assist/Control""', '""Urine Crystals, Other""', '""Transitional Epithelial Cells""', '""Hyaline Casts""', '""Voided Specimen""', '""Ferritin""', '""Iron""', '""Haptoglobin""', '""Bilirubin, Indirect""', '""Vitamin B12""', '""Iron Binding Capacity, Total""', '""Bilirubin, Direct""', '""Transferrin""', '""Fibrinogen, Functional""', '""Reticulocyte Count, Automated""', '""Reticulocyte Count, Absolute""']"
Irritable bowel syndrome,"['""Chloride""', '""Sodium""', '""Potassium""', '""Glucose""', '""Anion Gap""', '""Urea Nitrogen""', '""Magnesium""', '""Bicarbonate""', '""Creatinine""', '""White Blood Cells""', '""Red Blood Cells""', '""Hemoglobin""', '""MCH""', '""Platelet Count""', '""Hematocrit""', '""RDW""', '""MCV""', '""MCHC""', '""Specimen Type""', '""pH""', '""pO2""', '""Base Excess""', '""Oxygen Saturation""', '""Lactate""', '""Potassium, Whole Blood""', '""Calculated Total CO2""', '""pCO2""', '""Phosphate""', '""Calcium, Total""', '""Ventilator""', '""Intubated""', '""Free Calcium""', '""Chloride, Whole Blood""', '""Hematocrit, Calculated""', '""Sodium, Whole Blood""', '""PT""', '""INR(PT)""', '""Fibrinogen, Functional""', '""PTT""', '""Estimated GFR (MDRD equation)""', '""Basophils""', '""Eosinophils""', '""Lymphocytes""', '""Neutrophils""', '""Monocytes""', '""Bilirubin""', '""Nitrite""', '""WBC""', '""Urobilinogen""', '""Yeast""', '""Specific Gravity""', '""RBC""', '""Epithelial Cells""', '""Protein""', '""Bacteria""', '""Urine Appearance""', '""Blood""', '""Ketone""', '""Urine Color""', '""Leukocytes""', '""Red Top Hold""', '""Albumin""', '""Alanine Aminotransferase (ALT)""', '""Alkaline Phosphatase""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Creatine Kinase, MB Isoenzyme""', '""Creatine Kinase (CK)""', '""Troponin T""', '""Length of Urine Collection""', '""Urine tube, held""', '""Sodium, Urine""', '""Chloride, Urine""', '""Potassium, Urine""', '""Osmolality, Urine""', '""Immunoglobulin G""', '""Immunoglobulin A""', '""Ventilation Rate""', '""Tidal Volume""', '""Assist/Control""', '""Oxygen""', '""Temperature""', '""PEEP""', '""Triglycerides""', '""Lactate Dehydrogenase (LD)""', '""O2 Flow""', '""Urine Mucous""', '""Hyaline Casts""', '""Total Nucleated Cells, Pleural""', '""RBC, Pleural""', '""Macrophages""', '""Monos""', '""Polys""', '""Mesothelial Cells""', '""Total Protein, Pleural""', '""Albumin, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Glucose, Pleural""', '""Amorphous Crystals""', '""Granular Casts""']"
Jaundice,"['""Intubated""', '""Specimen Type""', '""Calculated Total CO2""', '""pO2""', '""Base Excess""', '""pCO2""', '""pH""', '""Monocytes""', '""Atypical Lymphocytes""', '""Absolute Monocyte Count""', '""Neutrophils""', '""Absolute Basophil Count""', '""Absolute Neutrophil Count""', '""Platelet Smear""', '""Basophils""', '""Absolute Eosinophil Count""', '""Myelocytes""', '""Absolute Lymphocyte Count""', '""Bands""', '""Metamyelocytes""', '""Lymphocytes""', '""Eosinophils""', '""Creatinine""', '""MCHC""', '""RDW-SD""', '""RDW""', '""Red Blood Cells""', '""MCH""', '""White Blood Cells""', '""Platelet Count""', '""Hemoglobin""', '""MCV""', '""Hematocrit""', '""PT""', '""INR(PT)""', '""PTT""', '""Sodium""', '""Anion Gap""', '""Chloride""', '""Bicarbonate""', '""Urea Nitrogen""', '""Potassium""', '""Glucose""', '""Length of Urine Collection""', '""Potassium, Urine""', '""Sodium, Urine""', '""Urea Nitrogen, Urine""', '""Creatinine, Urine""', '""Chloride, Urine""', '""Nitrite""', '""Leukocytes""', '""WBC""', '""Bilirubin""', '""Epithelial Cells""', '""Urine Mucous""', '""Protein""', '""Bacteria""', '""Urine Appearance""', '""Yeast""', '""RBC""', '""Urine Color""', '""Specific Gravity""', '""Ketone""', '""Urobilinogen""', '""Blood""', '""Temperature""', '""Lactate""', '""Free Calcium""', '""Reticulocyte Count, Automated""', '""Reticulocyte Count, Absolute""', '""Phosphate""', '""Alkaline Phosphatase""', '""Magnesium""', '""Calcium, Total""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Albumin""', '""Lactate Dehydrogenase (LD)""', '""Cortisol""', '""Troponin T""', '""Bilirubin, Indirect""', '""Fibrinogen, Functional""', '""Bilirubin, Direct""', '""Amorphous Crystals""', '""Hyaline Casts""', '""Target Cells""', '""Echinocytes""', '""Macrocytes""', '""Ovalocytes""', '""Anisocytosis""', '""Hypochromia""', '""Polychromasia""', '""Poikilocytosis""', '""Microcytes""', '""Schistocytes""', '""O2 Flow""', '""Oxygen""', '""Required O2""', '""Alveolar-arterial Gradient""', '""Thyroxine (T4), Free""', '""Immunoglobulin A""', '""Ferritin""', '""Iron Binding Capacity, Total""', '""Immunoglobulin G""', '""Immunoglobulin M""', '""Alpha-Fetoprotein""', '""Transferrin""', '""Carcinoembyronic Antigen (CEA)""', '""Iron""', '""Ethanol""', '""Salicylate""', '""Benzodiazepine Screen""', '""Tricyclic Antidepressant Screen""', '""Acetaminophen""', '""Barbiturate Screen""', '""Anti-Nuclear Antibody""', '""HIV Screen""', '""Estimated GFR (MDRD equation)""', '""Teardrop Cells""', '""Haptoglobin""', '""Hepatitis A Virus Antibody""', '""Osmolality, Urine""', '""D-Dimer""', '""Ventilation Rate""', '""Tidal Volume""', '""PEEP""', '""Assist/Control""', '""Red Top Hold""', '""RBC, Ascites""', '""Total Nucleated Cells, Ascites""', '""Macrophage""', '""Plasma""', '""Polys""', '""Albumin, Ascites""', '""Total Protein, Ascites""', '""Lactate Dehydrogenase, Ascites""', '""Glucose, Ascites""', '""Creatine Kinase, MB Isoenzyme""', '""Sodium, Whole Blood""', '""Chloride, Whole Blood""', '""Potassium, Whole Blood""', '""Amphetamine Screen, Urine""', '""Cocaine, Urine""', '""Methadone, Urine""', '""Opiate Screen, Urine""', '""Barbiturate Screen, Urine""', '""Benzodiazepine Screen, Urine""', '""Oxycodone""', '""Mesothelial Cell""', '""Thyroid Stimulating Hormone""', '""Anti-Smooth Muscle Antibody""', '""Immature Granulocytes""', '""Nucleated Red Cells""', '""Basophilic Stippling""', '""Acanthocytes""', '""Bite Cells""', '""Creatine Kinase (CK)""', '""Oxygen Saturation""', '""Vancomycin""', '""Lipase""', '""Hematocrit, Calculated""']"
Kyphosis,"['""Specimen Type""', '""Base Excess""', '""Calculated Total CO2""', '""Lactate""', '""Free Calcium""', '""pCO2""', '""Potassium, Whole Blood""', '""Sodium, Whole Blood""', '""Oxygen Saturation""', '""Glucose""', '""Hemoglobin""', '""pO2""', '""Chloride, Whole Blood""', '""Hematocrit, Calculated""', '""pH""', '""Platelet Count""', '""MCHC""', '""White Blood Cells""', '""RDW-SD""', '""Red Blood Cells""', '""MCV""', '""Hematocrit""', '""MCH""', '""RDW""', '""Bicarbonate""', '""Anion Gap""', '""Chloride""', '""Urea Nitrogen""', '""Calcium, Total""', '""Potassium""', '""Phosphate""', '""Creatinine""', '""Magnesium""', '""Sodium""', '""Protein""', '""Urine Color""', '""Urobilinogen""', '""Yeast""', '""Specific Gravity""', '""Transitional Epithelial Cells""', '""Bacteria""', '""Nitrite""', '""Leukocytes""', '""RBC""', '""Blood""', '""Urine Mucous""', '""Ketone""', '""Epithelial Cells""', '""WBC""', '""Bilirubin""', '""Urine Appearance""', '""Amorphous Crystals""']"
Low back pain,"['""Glucose""', '""Protein""', '""Urobilinogen""', '""Bacteria""', '""RBC""', '""Urine Appearance""', '""Urine Color""', '""Bilirubin""', '""Epithelial Cells""', '""pH""', '""Leukocytes""', '""Blood""', '""Ketone""', '""Specific Gravity""', '""WBC""', '""Nitrite""', '""Yeast""', '""RDW""', '""Platelet Count""', '""MCV""', '""MCH""', '""Hematocrit""', '""RDW-SD""', '""Hemoglobin""', '""Red Blood Cells""', '""White Blood Cells""', '""MCHC""', '""Chloride""', '""Calcium, Total""', '""Anion Gap""', '""Sodium""', '""Creatinine""', '""Magnesium""', '""Phosphate""', '""Bicarbonate""', '""H""', '""Urea Nitrogen""', '""I""', '""Potassium""', '""L""', '""eAG""', '""% Hemoglobin A1c""', '""Green Top Hold (plasma)""', '""Light Green Top Hold""', '""Absolute Basophil Count""', '""Absolute Neutrophil Count""', '""Absolute Monocyte Count""', '""Monocytes""', '""Eosinophils""', '""Absolute Eosinophil Count""', '""Absolute Lymphocyte Count""', '""Lymphocytes""', '""Neutrophils""', '""Basophils""', '""Immature Granulocytes""', '""Alkaline Phosphatase""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Estimated GFR (MDRD equation)""', '""Albumin""', '""Alanine Aminotransferase (ALT)""', '""Lipase""', '""INR(PT)""', '""PT""', '""PTT""', '""Metamyelocytes""', '""Bands""', '""Myelocytes""', '""Platelet Smear""', '""Atypical Lymphocytes""', '""Blasts""', '""Microcytes""', '""Macrocytes""', '""Teardrop Cells""', '""Ovalocytes""', '""Anisocytosis""', '""Hypochromia""', '""Poikilocytosis""', '""Polychromasia""', '""Lactate Dehydrogenase (LD)""', '""Nucleated Red Cells""', '""Uric Acid""', '""Spherocytes""', '""Schistocytes""', '""Amylase""', '""Creatine Kinase (CK)""', '""Vancomycin""', '""Thyroid Stimulating Hormone""', '""Cortisol""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Sodium, Urine""', '""Red Top Hold""', '""Osmolality, Measured""', '""Lactate""', '""Target Cells""', '""Immunophenotyping""', '""EDTA Hold""', '""HIV Screen""', '""ARCH-1""', '""Blood Parasite Smear""', '""Cytomegalovirus Viral Load""', '""Fibrinogen, Functional""', '""C-Reactive Protein""']"
lymphedema,"['""Bicarbonate""', '""Creatinine""', '""Sodium""', '""Calcium, Total""', '""Anion Gap""', '""Glucose""', '""Phosphate""', '""Potassium""', '""Magnesium""', '""Chloride""', '""Urea Nitrogen""', '""Hematocrit""', '""Basophils""', '""White Blood Cells""', '""Eosinophils""', '""Lymphocytes""', '""MCHC""', '""Neutrophils""', '""MCV""', '""Red Blood Cells""', '""Hemoglobin""', '""MCH""', '""Monocytes""', '""RDW""', '""Platelet Count""', '""INR(PT)""', '""PT""', '""PTT""', '""Estimated GFR (MDRD equation)""', '""Bilirubin""', '""Nitrite""', '""WBC""', '""Urobilinogen""', '""Yeast""', '""Specific Gravity""', '""pH""', '""RBC""', '""Epithelial Cells""', '""Protein""', '""Bacteria""', '""Urine Appearance""', '""Blood""', '""Ketone""', '""Urine Color""', '""Leukocytes""']"
Macular degeneration,"['""Bicarbonate""', '""Glucose""', '""Sodium""', '""Urea Nitrogen""', '""Creatinine""', '""Calcium, Total""', '""Anion Gap""', '""Chloride""', '""Magnesium""', '""Potassium""', '""Phosphate""', '""Hematocrit""', '""Creatine Kinase, MB Isoenzyme""', '""Troponin T""', '""White Blood Cells""', '""MCH""', '""Red Blood Cells""', '""RDW""', '""Platelet Count""', '""MCV""', '""MCHC""', '""Hemoglobin""', '""Specimen Type""', '""pCO2""', '""Calculated Total CO2""', '""pH""', '""Lactate""', '""Base Excess""', '""pO2""', '""Free Calcium""', '""PT""', '""PTT""', '""INR(PT)""', '""Intubated""', '""Chloride, Whole Blood""', '""Sodium, Whole Blood""', '""Potassium, Whole Blood""', '""Hematocrit, Calculated""', '""Oxygen Saturation""', '""EDTA Hold""', '""Blue Top Hold""', '""Estimated GFR (MDRD equation)""', '""Creatine Kinase (CK)""', '""CK-MB Index""']"
Macular degeneration,"['""H""', '""Phosphate""', '""L""', '""I""', '""Creatinine""', '""Bicarbonate""', '""Potassium""', '""Sodium""', '""Chloride""', '""Glucose""', '""Magnesium""', '""Anion Gap""', '""Calcium, Total""', '""Urea Nitrogen""', '""INR(PT)""', '""PTT""', '""PT""', '""MCH""', '""MCHC""', '""Hematocrit""', '""MCV""', '""Red Blood Cells""', '""Hemoglobin""', '""White Blood Cells""', '""RDW-SD""', '""RDW""', '""Platelet Count""', '""Length of Urine Collection""', '""Uhold""', '""Urine Appearance""', '""Hyaline Casts""', '""Ketone""', '""Urine Color""', '""Bacteria""', '""Protein""', '""Urine Mucous""', '""Yeast""', '""Bilirubin""', '""Epithelial Cells""', '""Blood""', '""RBC""', '""Leukocytes""', '""WBC""', '""pH""', '""Specific Gravity""', '""Nitrite""', '""Urobilinogen""', '""Urea Nitrogen, Urine""', '""Creatinine, Urine""', '""Lactate""', '""Estimated GFR (MDRD equation)""', '""Albumin""', '""% Hemoglobin A1c""', '""eAG""', '""Oxygen Saturation""', '""Specimen Type""', '""Reticulocyte Count, Automated""', '""Reticulocyte Count, Absolute""', '""Alkaline Phosphatase""', '""Lactate Dehydrogenase (LD)""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Echinocytes""', '""Teardrop Cells""', '""Basophilic Stippling""', '""Acanthocytes""', '""Polychromasia""', '""Macrocytes""', '""Poikilocytosis""', '""Schistocytes""', '""Anisocytosis""', '""Hypochromia""', '""Microcytes""', '""Haptoglobin""', '""Thyroxine (T4)""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Lymphocytes""', '""Absolute Neutrophil Count""', '""Basophils""', '""Absolute Basophil Count""', '""Absolute Lymphocyte Count""', '""Immature Granulocytes""', '""Monocytes""', '""Absolute Eosinophil Count""', '""Absolute Monocyte Count""', '""Eosinophils""', '""Neutrophils""']"
Migraine headache,"['""Specimen Type""', '""Base Excess""', '""Calculated Total CO2""', '""Lactate""', '""Free Calcium""', '""pCO2""', '""Potassium, Whole Blood""', '""Sodium, Whole Blood""', '""Oxygen Saturation""', '""Glucose""', '""Hemoglobin""', '""pO2""', '""Chloride, Whole Blood""', '""Hematocrit, Calculated""', '""pH""', '""Platelet Count""', '""MCHC""', '""White Blood Cells""', '""RDW-SD""', '""Red Blood Cells""', '""MCV""', '""Hematocrit""', '""MCH""', '""RDW""', '""Bicarbonate""', '""Anion Gap""', '""Chloride""', '""Urea Nitrogen""', '""Calcium, Total""', '""Potassium""', '""Phosphate""', '""Creatinine""', '""Magnesium""', '""Sodium""', '""Protein""', '""Urine Color""', '""Urobilinogen""', '""Yeast""', '""Specific Gravity""', '""Transitional Epithelial Cells""', '""Bacteria""', '""Nitrite""', '""Leukocytes""', '""RBC""', '""Blood""', '""Urine Mucous""', '""Ketone""', '""Epithelial Cells""', '""WBC""', '""Bilirubin""', '""Urine Appearance""', '""Amorphous Crystals""', '""PTT""', '""PT""', '""INR(PT)""', '""Estimated GFR (MDRD equation)""', '""Miscellaneous, Pleural""', '""Total Nucleated Cells, Pleural""', '""Cholesterol, Pleural""', '""NTproBNP""', '""Mesothelial Cells""', '""Glucose, Pleural""', '""Total Protein, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Amylase, Pleural""', '""Creatinine, Pleural""', '""Albumin, Pleural""', '""RBC, Pleural""', '""Polys""', '""Monos""', '""Lymphocytes""', '""Macrophages""', '""Eosinophils""']"
Mood disorders,"['""Specimen Type""', '""Lactate""', '""Calculated Total CO2""', '""pCO2""', '""pO2""', '""Base Excess""', '""pH""', '""Voided Specimen""', '""Sodium""', '""Anion Gap""', '""Bicarbonate""', '""Calcium, Total""', '""I""', '""Creatinine""', '""Phosphate""', '""Glucose""', '""H""', '""Potassium""', '""Chloride""', '""Magnesium""', '""L""', '""Urea Nitrogen""', '""RDW-SD""', '""MCV""', '""RDW""', '""Hemoglobin""', '""MCH""', '""MCHC""', '""Red Blood Cells""', '""White Blood Cells""', '""Hematocrit""', '""Platelet Count""', '""PT""', '""INR(PT)""', '""PTT""', '""Green Top Hold (plasma)""', '""EDTA Hold""', '""Uhold""', '""Length of Urine Collection""', '""Red Top Hold""', '""Leukocytes""', '""Specific Gravity""', '""RBC""', '""WBC""', '""Blood""', '""Bilirubin""', '""Epithelial Cells""', '""Nitrite""', '""Yeast""', '""Hyaline Casts""', '""Bacteria""', '""Urine Appearance""', '""Ketone""', '""Urine Color""', '""Urobilinogen""', '""Protein""', '""Urine Mucous""', '""HCG, Urine, Qualitative""', '""Potassium, Whole Blood""', '""Calculated Bicarbonate, Whole Blood""', '""Sodium, Whole Blood""', '""Oxygen Saturation""', '""Chloride, Whole Blood""', '""Troponin T""', '""Problem Specimen""', '""Blue Top Hold""', '""Temperature""', '""Intubated""', '""Immunophenotyping""', '""Free Calcium""', '""Vancomycin""', '""Creatine Kinase, MB Isoenzyme""', '""CK-MB Index""', '""Asparate Aminotransferase (AST)""', '""Alanine Aminotransferase (ALT)""', '""Fibrinogen, Functional""', '""Bilirubin, Total""', '""Creatine Kinase (CK)""', '""Alkaline Phosphatase""', '""Estimated GFR (MDRD equation)""', '""Lactate Dehydrogenase (LD)""', '""PEEP""', '""Oxygen""', '""Ventilation Rate""', '""Assist/Control""', '""Tidal Volume""', '""Albumin""', '""Thyroid Stimulating Hormone""', '""Hepatitis C Virus Antibody""', '""Hepatitis A Virus Antibody""', '""Hepatitis B Surface Antibody""', '""Anti-Nuclear Antibody""', '""Anti-Mitochondrial Antibody""', '""Transferrin""', '""Immunoglobulin A""', '""Immunoglobulin G""', '""Iron""', '""Immunoglobulin M""', '""Iron Binding Capacity, Total""', '""Ferritin""', '""Tricyclic Antidepressant Screen""', '""Ethanol""', '""Salicylate""', '""Barbiturate Screen""', '""Acetaminophen""', '""Benzodiazepine Screen""', '""Hepatitis B Virus Core Antibody""', '""Hepatitis B Surface Antigen""', '""Anti-Smooth Muscle Antibody""']"
Myositis,"['""Bicarbonate""', '""Creatinine""', '""Sodium""', '""Calcium, Total""', '""Anion Gap""', '""Glucose""', '""Phosphate""', '""Potassium""', '""Magnesium""', '""Chloride""', '""Urea Nitrogen""', '""Hematocrit""', '""Basophils""', '""White Blood Cells""', '""Eosinophils""', '""Lymphocytes""', '""MCHC""', '""Neutrophils""', '""MCV""', '""Red Blood Cells""', '""Hemoglobin""', '""MCH""', '""Monocytes""', '""RDW""', '""Platelet Count""', '""INR(PT)""', '""PT""', '""PTT""', '""Estimated GFR (MDRD equation)""', '""Bilirubin""', '""Nitrite""', '""WBC""', '""Urobilinogen""', '""Yeast""', '""Specific Gravity""', '""pH""', '""RBC""', '""Epithelial Cells""', '""Protein""', '""Bacteria""', '""Urine Appearance""', '""Blood""', '""Ketone""', '""Urine Color""', '""Leukocytes""']"
